Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
5949,19.897,-0.423,7.446,1.579,2.408,0.294,0.098,0.471,0.121,2.551,0.685,3.000,1.667
6167,10.126,0.231,0.424,2.234,2.114,-0.033,0.120,0.026,-0.708,1.177,0.207,2.667,1.667
6222,9.331,-0.280,0.900,0.381,0.677,-0.231,-0.135,-0.066,-0.178,0.448,0.178,3.818,3.818
6366,16.548,-0.197,2.203,0.847,1.702,0.305,0.343,2.283,0.864,1.327,-0.283,2.769,4.385
6626,14.475,0.129,1.621,1.642,1.506,0.245,-0.427,1.413,-0.012,1.726,0.632,2.000,4.000
6961,2.560,0.569,1.787,-0.216,-0.345,-0.159,0.312,-0.289,-0.175,0.089,-1.012,0.000,2.000
7072,19.008,0.033,8.822,1.946,2.042,-0.131,-0.274,-0.157,-0.437,0.249,-0.720,4.091,3.545
7085,9.132,1.204,-1.371,1.479,0.802,-0.062,-0.173,0.012,-0.320,2.469,0.092,2.000,3.000
7107,11.461,0.183,-0.282,1.803,0.211,-0.120,-0.117,-0.001,-0.290,1.085,1.323,4.667,3.000
7152,20.636,-0.847,8.385,0.736,1.173,0.317,0.131,0.124,0.170,0.567,0.607,3.000,6.273
7409,7.928,0.448,1.123,0.457,0.518,-0.207,-0.316,0.241,-0.077,0.450,-0.042,3.000,2.333
7489,3.903,1.087,1.127,0.023,-0.190,-0.202,0.038,-0.630,-0.235,-0.256,0.809,1.667,0.667
